Name,Spotify Playlist Name
🎤 Male Rappers (<200K),🎧 Queue - Unsigned (<200K listeners) [2026]
🎤 Male Rappers (200K - 500k),🎧 Queue - Male Rappers (200K - 500k) [2026]
🎤 Male Rappers (500k+),🎧 Queue - SIGNED Rap (Major Labels) [2026]
LINE BREAK,LINE BREAK
💅🏾 Female Rappers (<200K),🎧 Queue - Female Rappers (<200K) [2026]
💅🏾 Female Rappers (200K - 500k),🎧  Queue - Female Rappers (200K - 500k) [2026]
💅🏾 Female Rappers (500k+),🎧  Queue - Female Rappers (500k+) [2026]
LINE BREAK,LINE BREAK
🔫 Pack Hour,🎧 Queue - Pack Hour [2026]
LINE BREAK,LINE BREAK
🗣 Unsigned R&B,🎧 Queue - Unsigned R&B (<200K listeners) [2026]
🗣 MAJOR R&B,🎧 Queue - SIGNED R&B (Major Labels) [2026]
